protocol=H-20260910-11
source_revision=8dfbfb8f15eb2ff3d84629385cde99cd9f2bc9aa
source_sha256=d0bf0974df7b4d7c1f8f47369e80f939bf5f801e92fc2ffc36a2beebe199779b
INDEPENDENT=all binary words through length15 agree with the gap generator
NEGATIVE_CONTROL={"newest_first": "ASAASAS", "lag": 7, "P2": true, "no_SS": true, "clean": false}
HOLDOUT={"S_count": 105, "length": 211, "words": 5671, "P2_no_SAAS": 1, "P2_with_SAAS": 26, "violations": 0}
HOLDOUT={"S_count": 106, "length": 213, "words": 5778, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 107, "length": 215, "words": 5886, "P2_no_SAAS": 0, "P2_with_SAAS": 27, "violations": 0}
HOLDOUT={"S_count": 108, "length": 217, "words": 5995, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 109, "length": 219, "words": 6105, "P2_no_SAAS": 1, "P2_with_SAAS": 27, "violations": 0}
HOLDOUT={"S_count": 110, "length": 221, "words": 6216, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 111, "length": 223, "words": 6328, "P2_no_SAAS": 0, "P2_with_SAAS": 28, "violations": 0}
HOLDOUT={"S_count": 112, "length": 225, "words": 6441, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 113, "length": 227, "words": 6555, "P2_no_SAAS": 1, "P2_with_SAAS": 28, "violations": 0}
HOLDOUT={"S_count": 114, "length": 229, "words": 6670, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 115, "length": 231, "words": 6786, "P2_no_SAAS": 0, "P2_with_SAAS": 29, "violations": 0}
HOLDOUT={"S_count": 116, "length": 233, "words": 6903, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 117, "length": 235, "words": 7021, "P2_no_SAAS": 1, "P2_with_SAAS": 29, "violations": 0}
HOLDOUT={"S_count": 118, "length": 237, "words": 7140, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 119, "length": 239, "words": 7260, "P2_no_SAAS": 0, "P2_with_SAAS": 30, "violations": 0}
HOLDOUT={"S_count": 120, "length": 241, "words": 7381, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 121, "length": 243, "words": 7503, "P2_no_SAAS": 1, "P2_with_SAAS": 30, "violations": 0}
HOLDOUT={"S_count": 122, "length": 245, "words": 7626, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 123, "length": 247, "words": 7750, "P2_no_SAAS": 0, "P2_with_SAAS": 31, "violations": 0}
HOLDOUT={"S_count": 124, "length": 249, "words": 7875, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 125, "length": 251, "words": 8001, "P2_no_SAAS": 1, "P2_with_SAAS": 31, "violations": 0}
HOLDOUT={"S_count": 126, "length": 253, "words": 8128, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 127, "length": 255, "words": 8256, "P2_no_SAAS": 0, "P2_with_SAAS": 32, "violations": 0}
HOLDOUT={"S_count": 128, "length": 257, "words": 8385, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 129, "length": 259, "words": 8515, "P2_no_SAAS": 1, "P2_with_SAAS": 32, "violations": 0}
HOLDOUT={"S_count": 130, "length": 261, "words": 8646, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 131, "length": 263, "words": 8778, "P2_no_SAAS": 0, "P2_with_SAAS": 33, "violations": 0}
HOLDOUT={"S_count": 132, "length": 265, "words": 8911, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 133, "length": 267, "words": 9045, "P2_no_SAAS": 1, "P2_with_SAAS": 33, "violations": 0}
HOLDOUT={"S_count": 134, "length": 269, "words": 9180, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 135, "length": 271, "words": 9316, "P2_no_SAAS": 0, "P2_with_SAAS": 34, "violations": 0}
HOLDOUT={"S_count": 136, "length": 273, "words": 9453, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 137, "length": 275, "words": 9591, "P2_no_SAAS": 1, "P2_with_SAAS": 34, "violations": 0}
HOLDOUT={"S_count": 138, "length": 277, "words": 9730, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 139, "length": 279, "words": 9870, "P2_no_SAAS": 0, "P2_with_SAAS": 35, "violations": 0}
HOLDOUT={"S_count": 140, "length": 281, "words": 10011, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 141, "length": 283, "words": 10153, "P2_no_SAAS": 1, "P2_with_SAAS": 35, "violations": 0}
HOLDOUT={"S_count": 142, "length": 285, "words": 10296, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 143, "length": 287, "words": 10440, "P2_no_SAAS": 0, "P2_with_SAAS": 36, "violations": 0}
HOLDOUT={"S_count": 144, "length": 289, "words": 10585, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 145, "length": 291, "words": 10731, "P2_no_SAAS": 1, "P2_with_SAAS": 36, "violations": 0}
HOLDOUT={"S_count": 146, "length": 293, "words": 10878, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 147, "length": 295, "words": 11026, "P2_no_SAAS": 0, "P2_with_SAAS": 37, "violations": 0}
HOLDOUT={"S_count": 148, "length": 297, "words": 11175, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 149, "length": 299, "words": 11325, "P2_no_SAAS": 1, "P2_with_SAAS": 37, "violations": 0}
HOLDOUT={"S_count": 150, "length": 301, "words": 11476, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 151, "length": 303, "words": 11628, "P2_no_SAAS": 0, "P2_with_SAAS": 38, "violations": 0}
HOLDOUT={"S_count": 152, "length": 305, "words": 11781, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 153, "length": 307, "words": 11935, "P2_no_SAAS": 1, "P2_with_SAAS": 38, "violations": 0}
HOLDOUT={"S_count": 154, "length": 309, "words": 12090, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 155, "length": 311, "words": 12246, "P2_no_SAAS": 0, "P2_with_SAAS": 39, "violations": 0}
HOLDOUT={"S_count": 156, "length": 313, "words": 12403, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 157, "length": 315, "words": 12561, "P2_no_SAAS": 1, "P2_with_SAAS": 39, "violations": 0}
HOLDOUT={"S_count": 158, "length": 317, "words": 12720, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 159, "length": 319, "words": 12880, "P2_no_SAAS": 0, "P2_with_SAAS": 40, "violations": 0}
HOLDOUT={"S_count": 160, "length": 321, "words": 13041, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
HOLDOUT={"S_count": 161, "length": 323, "words": 13203, "P2_no_SAAS": 1, "P2_with_SAAS": 40, "violations": 0}
