i	value	birth	sign	arc	q	r
234	39375734381	11684553434	S	40	3	4322074079
235	39375734378	11684553440	S	40	3	4322074058
236	39375734375	11684553446	S	40	3	4322074037
237	39375734372	11684553452	S	40	3	4322074016
238	39375734369	11684553458	S	40	3	4322073995
239	39375734366	11684553464	S	40	3	4322073974
240	39375734363	11684553470	S	40	3	4322073953
241	39375734360	11684553476	S	40	3	4322073932
242	39375734357	11684553482	S	40	3	4322073911
243	39375734354	11684553488	S	40	3	4322073890
244	39375734351	11684553494	S	40	3	4322073869
245	39375734348	11684553500	S	40	3	4322073848
246	39375734345	11684553506	S	40	3	4322073827
247	39375734342	11684553512	S	40	3	4322073806
248	39375734339	11684553518	S	40	3	4322073785
249	39375734336	11684553524	S	40	3	4322073764
250	39375734333	11684553530	S	40	3	4322073743
251	39375734330	11684553536	S	40	3	4322073722
252	39375734327	11684553542	S	40	3	4322073701
253	39375734324	11684553548	S	40	3	4322073680
254	39375734321	11684553554	S	40	3	4322073659
255	39375734318	11684553560	S	40	3	4322073638
256	39375734315	11684553566	S	40	3	4322073617
257	39375734312	11684553572	S	40	3	4322073596
258	39375734309	11684553578	S	40	3	4322073575
259	39375734306	11684553584	S	40	3	4322073554
260	39375734303	11684553590	S	40	3	4322073533
261	39375734300	11684553596	S	40	3	4322073512
262	39375734297	11684553602	S	40	3	4322073491
263	39375734294	11684553608	S	40	3	4322073470
264	39375734291	11684553614	S	40	3	4322073449
265	39375734288	11684553620	S	40	3	4322073428
266	39375734285	11684553626	S	40	3	4322073407
267	39375734282	11684553632	S	40	3	4322073386
268	39375734279	11684553638	S	40	3	4322073365
269	39375734276	11684553644	S	40	3	4322073344
270	39375734273	11684553650	S	40	3	4322073323
271	39375734270	11684553656	S	40	3	4322073302
272	39375734267	11684553662	S	40	3	4322073281
273	39375734264	11684553668	S	40	3	4322073260
274	39375734261	11684553674	S	40	3	4322073239
275	39375734258	11684553680	S	40	3	4322073218
276	39375734255	11684553686	S	40	3	4322073197
277	39375734252	11684553692	S	40	3	4322073176
278	39375734249	11684553698	S	40	3	4322073155
279	39375734246	11684553704	S	40	3	4322073134
280	39375734243	11684553710	S	40	3	4322073113
281	39375734240	11684553716	S	40	3	4322073092
282	39375734237	11684553722	S	40	3	4322073071
283	39375734234	11684553728	S	40	3	4322073050
284	39375734231	11684553734	S	40	3	4322073029
285	39375734228	11684553740	S	40	3	4322073008
286	39375734225	11684553746	S	40	3	4322072987
287	39375734222	11684553752	S	40	3	4322072966
288	39375734219	11684553758	S	40	3	4322072945
289	39375734216	11684553764	S	40	3	4322072924
290	39375734213	11684553770	S	40	3	4322072903
291	39375734210	11684553776	S	40	3	4322072882
292	39375734207	11684553782	S	40	3	4322072861
293	39375734204	11684553788	S	40	3	4322072840
294	39375734201	11684553794	S	40	3	4322072819
295	39375734198	11684553800	S	40	3	4322072798
296	39375734195	11684553806	S	40	3	4322072777
297	39375734192	11684553812	S	40	3	4322072756
298	39375734189	11684553818	S	40	3	4322072735
299	39375734186	11684553824	S	40	3	4322072714
300	39375734183	11684553830	S	40	3	4322072693
301	39375734180	11684553836	S	40	3	4322072672
302	39375734177	11684553842	S	40	3	4322072651
303	39375734174	11684553848	S	40	3	4322072630
304	39375734171	11684553854	S	40	3	4322072609
305	39375734168	11684553860	S	40	3	4322072588
306	39375734165	11684553866	S	40	3	4322072567
307	39375734162	11684553872	S	40	3	4322072546
308	39375734159	11684553878	S	40	3	4322072525
309	39375734156	11684553884	S	40	3	4322072504
310	39375734153	11684553890	S	40	3	4322072483
311	39375734150	11684553896	S	40	3	4322072462
312	39375734147	11684553902	S	40	3	4322072441
313	39375734144	11684553908	S	40	3	4322072420
314	39375734141	11684553914	S	40	3	4322072399
315	39375734138	11684553920	S	40	3	4322072378
316	39375734135	11684553926	S	40	3	4322072357
317	39375734132	11684553932	S	40	3	4322072336
318	39375734129	11684553938	S	40	3	4322072315
319	39375734126	11684553944	S	40	3	4322072294
320	39375734123	11684553950	S	40	3	4322072273
321	39375734120	11684553956	S	40	3	4322072252
322	39375734117	11684553962	S	40	3	4322072231
323	39375734114	11684553968	S	40	3	4322072210
324	39375734111	11684553974	S	40	3	4322072189
325	39375734108	11684553980	S	40	3	4322072168
326	39375734105	11684553986	S	40	3	4322072147
327	39375734102	11684553992	S	40	3	4322072126
328	39375734099	11684553998	S	40	3	4322072105
329	39375734096	11684554004	S	40	3	4322072084
330	39375734093	11684554010	S	40	3	4322072063
331	39375734090	11684554016	S	40	3	4322072042
332	39375734087	11684554022	S	40	3	4322072021
333	39375734084	11684554028	S	40	3	4322072000
334	39375734081	11684554034	S	40	3	4322071979
335	39375734078	11684554040	S	40	3	4322071958
336	39375734075	11684554046	S	40	3	4322071937
337	39375734072	11684554052	S	40	3	4322071916
338	39375734069	11684554058	S	40	3	4322071895
339	39375734066	11684554064	S	40	3	4322071874
340	39375734063	11684554070	S	40	3	4322071853
341	39375734060	11684554076	S	40	3	4322071832
342	39375734057	11684554082	S	40	3	4322071811
343	39375734054	11684554088	S	40	3	4322071790
344	39375734051	11684554094	S	40	3	4322071769
345	39375734048	11684554100	S	40	3	4322071748
346	39375734045	11684554106	S	40	3	4322071727
347	39375734042	11684554112	S	40	3	4322071706
348	39375734039	11684554118	S	40	3	4322071685
349	39375734036	11684554124	S	40	3	4322071664
350	39375734033	11684554130	S	40	3	4322071643
351	39375734030	11684554136	S	40	3	4322071622
352	39375734027	11684554142	S	40	3	4322071601
353	39375734024	11684554148	S	40	3	4322071580
354	39375734021	11684554154	S	40	3	4322071559
355	39375734018	11684554160	S	40	3	4322071538
356	39375734015	11684554166	S	40	3	4322071517
357	39375734012	11684554172	S	40	3	4322071496
358	39375734009	11684554178	S	40	3	4322071475
359	39375734006	11684554184	S	40	3	4322071454
360	39375734003	11684554190	S	40	3	4322071433
361	39375734000	11684554196	S	40	3	4322071412
362	39375733997	11684554202	S	40	3	4322071391
363	39375733994	11684554208	S	40	3	4322071370
364	39375733991	11684554214	S	40	3	4322071349
365	39375733988	11684554220	S	40	3	4322071328
366	39375733985	11684554226	S	40	3	4322071307
367	39375733982	11684554232	S	40	3	4322071286
368	39375733979	11684554238	S	40	3	4322071265
369	39375733976	11684554244	S	40	3	4322071244
370	39375733973	11684554250	S	40	3	4322071223
371	39375733970	11684554256	S	40	3	4322071202
372	39375733967	11684554262	S	40	3	4322071181
373	39375733964	11684554268	S	40	3	4322071160
374	39375733961	11684554274	S	40	3	4322071139
375	39375733958	11684554280	S	40	3	4322071118
376	39375733955	11684554286	S	40	3	4322071097
377	39375733952	11684554292	S	40	3	4322071076
378	39375733949	11684554298	S	40	3	4322071055
379	39375733946	11684554304	S	40	3	4322071034
380	39375733943	11684554310	S	40	3	4322071013
381	39375733940	11684554316	S	40	3	4322070992
382	39375733937	11684554322	S	40	3	4322070971
383	39375733934	11684554328	S	40	3	4322070950
384	39375733931	11684554334	S	40	3	4322070929
385	39375733928	11684554340	S	40	3	4322070908
386	39375733925	11684554346	S	40	3	4322070887
387	39375733922	11684554352	S	40	3	4322070866
388	39375733919	11684554358	S	40	3	4322070845
389	39375733916	11684554364	S	40	3	4322070824
390	39375733913	11684554370	S	40	3	4322070803
391	39375733910	11684554376	S	40	3	4322070782
392	39375733907	11684554382	S	40	3	4322070761
393	39375733904	11684554388	S	40	3	4322070740
394	39375733901	11684554394	S	40	3	4322070719
395	39375733898	11684554400	S	40	3	4322070698
396	39375733895	11684554406	S	40	3	4322070677
397	39375733892	11684554412	S	40	3	4322070656
398	39375733889	11684554418	S	40	3	4322070635
399	39375733886	11684554424	S	40	3	4322070614
400	39375733883	11684554430	S	40	3	4322070593
401	39375733880	11684554436	S	40	3	4322070572
402	39375733877	11684554442	S	40	3	4322070551
403	39375733874	11684554448	S	40	3	4322070530
404	39375733871	11684554454	S	40	3	4322070509
405	39375733868	11684554460	S	40	3	4322070488
406	39375733865	11684554466	S	40	3	4322070467
407	39375733862	11684554472	S	40	3	4322070446
408	39375733859	11684554478	S	40	3	4322070425
409	39375733856	11684554484	S	40	3	4322070404
410	39375733853	11684554490	S	40	3	4322070383
411	39375733850	11684554496	S	40	3	4322070362
412	39375733847	11684554502	S	40	3	4322070341
413	39375733844	11684554508	S	40	3	4322070320
414	39375733841	11684554514	S	40	3	4322070299
415	39375733838	11684554520	S	40	3	4322070278
416	39375733835	11684554526	S	40	3	4322070257
417	39375733832	11684554532	S	40	3	4322070236
418	39375733829	11684554538	S	40	3	4322070215
419	39375733826	11684554544	S	40	3	4322070194
420	39375733823	11684554550	S	40	3	4322070173
421	39375733820	11684554556	S	40	3	4322070152
422	39375733817	11684554562	S	40	3	4322070131
423	39375733814	11684554568	S	40	3	4322070110
424	39375733811	11684554574	S	40	3	4322070089
425	39375733808	11684554580	S	40	3	4322070068
426	39375733805	11684554586	S	40	3	4322070047
427	39375733802	11684554592	S	40	3	4322070026
428	39375733799	11684554598	S	40	3	4322070005
429	39375733796	11684554604	S	40	3	4322069984
430	39375733793	11684554610	S	40	3	4322069963
431	39375733790	11684554616	S	40	3	4322069942
432	39375733787	11684554622	S	40	3	4322069921
433	39375733784	11684554628	S	40	3	4322069900
434	39375733781	11684554634	S	40	3	4322069879
435	39375733778	11684554640	S	40	3	4322069858
436	39375733775	11684554646	S	40	3	4322069837
437	39375733772	11684554652	S	40	3	4322069816
438	39375733769	11684554658	S	40	3	4322069795
439	39375733766	11684554664	S	40	3	4322069774
440	39375733763	11684554670	S	40	3	4322069753
441	39375733760	11684554676	S	40	3	4322069732
442	39375733757	11684554682	S	40	3	4322069711
443	39375733754	11684554688	S	40	3	4322069690
444	39375733751	11684554694	S	40	3	4322069669
445	39375733748	11684554700	S	40	3	4322069648
446	39375733745	11684554706	S	40	3	4322069627
447	39375733742	11684554712	S	40	3	4322069606
448	39375733739	11684554718	S	40	3	4322069585
449	39375733736	11684554724	S	40	3	4322069564
450	39375733733	11684554730	S	40	3	4322069543
451	39375733730	11684554736	S	40	3	4322069522
452	39375733727	11684554742	S	40	3	4322069501
453	39375733724	11684554748	S	40	3	4322069480
454	39375733721	11684554754	S	40	3	4322069459
455	39375733718	11684554760	S	40	3	4322069438
456	39375733715	11684554766	S	40	3	4322069417
457	39375733712	11684554772	S	40	3	4322069396
458	39375733709	11684554778	S	40	3	4322069375
459	39375733706	11684554784	S	40	3	4322069354
460	39375733703	11684554790	S	40	3	4322069333
461	39375733700	11684554796	S	40	3	4322069312
462	39375733697	11684554802	S	40	3	4322069291
463	39375733694	11684554808	S	40	3	4322069270
464	39375733691	11684554814	S	40	3	4322069249
465	39375733688	11684554820	S	40	3	4322069228
466	39375733685	11684554826	S	40	3	4322069207
467	39375733682	11684554832	S	40	3	4322069186
468	39375733679	11684554838	S	40	3	4322069165
469	39375733676	11684554844	S	40	3	4322069144
470	39375733673	11684554850	S	40	3	4322069123
471	39375733670	11684554856	S	40	3	4322069102
472	39375733667	11684554862	S	40	3	4322069081
473	39375733664	11684554868	S	40	3	4322069060
474	39375733661	11684554874	S	40	3	4322069039
475	39375733658	11684554880	S	40	3	4322069018
476	39375733655	11684554886	S	40	3	4322068997
477	39375733652	11684554892	S	40	3	4322068976
478	39375733649	11684554898	S	40	3	4322068955
479	39375733646	11684554904	S	40	3	4322068934
480	39375733643	11684554910	S	40	3	4322068913
481	39375733640	11684554916	S	40	3	4322068892
482	39375733637	11684554922	S	40	3	4322068871
483	39375733634	11684554928	S	40	3	4322068850
484	39375733631	11684554934	S	40	3	4322068829
485	39375733628	11684554940	S	40	3	4322068808
486	39375733625	11684554946	S	40	3	4322068787
487	39375733622	11684554952	S	40	3	4322068766
488	39375733619	11684554958	S	40	3	4322068745
489	39375733616	11684554964	S	40	3	4322068724
490	39375733613	11684554970	S	40	3	4322068703
491	39375733610	11684554976	S	40	3	4322068682
492	39375733607	11684554982	S	40	3	4322068661
493	39375733604	11684554988	S	40	3	4322068640
494	39375733601	11684554994	S	40	3	4322068619
495	39375733598	11684555000	S	40	3	4322068598
496	39375733595	11684555006	S	40	3	4322068577
497	39375733592	11684555012	S	40	3	4322068556
498	39375733589	11684555018	S	40	3	4322068535
499	39375733586	11684555024	S	40	3	4322068514
500	39375733583	11684555030	S	40	3	4322068493
501	39375733580	11684555036	S	40	3	4322068472
502	39375733577	11684555042	S	40	3	4322068451
503	39375733574	11684555048	S	40	3	4322068430
504	39375733571	11684555054	S	40	3	4322068409
505	39375733568	11684555060	S	40	3	4322068388
506	39375733565	11684555066	S	40	3	4322068367
507	39375733562	11684555072	S	40	3	4322068346
508	39375733559	11684555078	S	40	3	4322068325
509	39375733556	11684555084	S	40	3	4322068304
510	39375733553	11684555090	S	40	3	4322068283
511	39375733550	11684555096	S	40	3	4322068262
512	39375733547	11684555102	S	40	3	4322068241
513	39375733544	11684555108	S	40	3	4322068220
514	39375733541	11684555114	S	40	3	4322068199
515	39375733538	11684555120	S	40	3	4322068178
516	39375733535	11684555126	S	40	3	4322068157
517	39375733532	11684555132	S	40	3	4322068136
518	39375733529	11684555138	S	40	3	4322068115
519	39375733526	11684555144	S	40	3	4322068094
520	39375733523	11684555150	S	40	3	4322068073
521	39375733520	11684555156	S	40	3	4322068052
522	39375733517	11684555162	S	40	3	4322068031
523	39375733514	11684555168	S	40	3	4322068010
524	39375733511	11684555174	S	40	3	4322067989
525	39375733508	11684555180	S	40	3	4322067968
526	39375733505	11684555186	S	40	3	4322067947
527	39375733502	11684555192	S	40	3	4322067926
528	39375733499	11684555198	S	40	3	4322067905
529	39375733496	11684555204	S	40	3	4322067884
530	39375733493	11684555210	S	40	3	4322067863
531	39375733490	11684555216	S	40	3	4322067842
532	39375733487	11684555222	S	40	3	4322067821
533	39375733484	11684555228	S	40	3	4322067800
534	39375733481	11684555234	S	40	3	4322067779
535	39375733478	11684555240	S	40	3	4322067758
536	39375733475	11684555246	S	40	3	4322067737
537	39375733472	11684555252	S	40	3	4322067716
538	39375733469	11684555258	S	40	3	4322067695
539	39375733466	11684555264	S	40	3	4322067674
540	39375733463	11684555270	S	40	3	4322067653
